82,"@prlouison mais wsh Lena elle a dit ca dans son vlog d’août 😡 @lenasituations arrête de faire des fake news"
83,"Acheté un maillot de l’OM https://t.co/i8k26d4nZ8"
84,"@nicole_lemelin @RadioCanadaInfo C'est logique, les manifestants sont à l'extérieur et ils se déplacent, pas la même chose du tout dans un bar! #Covid_19 #polqc"
85,"imagine ton tweet se trouve sur le mur des toilettes de lena situations"
86,"@EELVParisCentre @EELV_Paris @RaphaelleRL @CorineFaugeron @alicecoffin @EELV @EELVIdF @EmmaPierreMarie @FeminismeEELV @EstherBenbassa @sandraregol Tout en soutenant le gang du violeur Adama Traoré...balaise !"
87,"@MudaBwoy @FriedrichSedar @f2acnok @_LICRA_ @olivierveran Eh ben c'est des cons ça ne justifie pas de faire la même chose ds l autre sens et de manière officielle en cliquant sur google"
88,"En mode Adblock c'est une nouveauté https://t.co/7hFhdJpbPK"
89,"On est devenu un pays à la con, qui ne respecte plus rien, même plus l'humain, même pas ses enfants. Pognon, pognon ......sur le dos de qui  ? Nous ^^ #sncf #france https://t.co/iVLrWS4xES"
90,"Après l’échec cuisant de la première vague, avec environ 4000 cas quotidiens ouvrir les écoles n’est pas une si bonne idée, à comparer avec les autres pays. #rentreescolaire2020"
91,"Prédiction astrologique de la semaine #Prediction #astro #Gemeaux #Gemini  ♊️: discussion affective compliqué, reproches fréquents. Mais les avancées semblent se profiler"
92,"par contre la box art de Super Mario 3D All Stars est tellement moche ils auraient put faire un effort wsh"
93,"Tu préfères être vampirisé(e) par Sophie Favier chaque lundi comme une personne de basse classe sociale ou bien être embrassé(e) par une inspectrice quand tu fais l’amour ? Moi je pense la question elle est vite répondue. Bisous."
94,"Très bon texte de @edwyplenel dans @Mediapart. ""Le basculement dans le pire par habitude, accoutumance et indifférence."" Tout est dit à l'heure où des policiers se moquent des @soutiengj  ayant perdu un œil. #mediapart #plenel #DarmaninDemission  https://t.co/9XF7bEIMI2"
95,"@AstonTartine @TrashTalk_fr Après, quand giannis est sorti, ils ont bouleversés le match. C’est impossible qui tiennent ce rythme sur le match 5 ?"
96,"""Avec les coupes d'Europe, #Téléfoot serait facturée 29,99€ par mois ou 25,99€ par mois contre un engagement d'un an."""
97,"@iNover__ Conte je le prends tout les jours chez nous"
98,"Et c’est rien de le dire !   Rentrée chargée pour les assistants sociaux scolaires  #RENTREE2020 #RentreeScolaire  ⁦@Lemediasocial⁩ ⁦⁦@olbonnin⁩  https://t.co/fGtxqnBfBU"
99,"@_LICRA_ pensée à tous ces Palestiniens tombés sous les balles ou les coups de la division israélienne"
100,"@Girondinsjohn @Arlette_Zilberg @_LICRA_ @olivierveran C est moi qui est inventé le syndrome méditerranéen ?c est moi qui est demande à Mme @Jaddo_fr de venir nous prouver sa pratique raciste de la medecine? On va pas continuer à se laisser mutiler, mourir pour vos grandes theories contre le racialisme.."
101,"🚧Ⓓ - TRAVAUX  Ligne D : Juvisy - Malesherbes 31/08 04/09  ☞ Entre Juvisy et Malesherbes : trafic interrompu du 31/08 au 04/09 en soirée (bus de remplacement).  #RERD (SNCF - 31/08/20 14:49) https://t.co/nfj4IEetdj RT AlertesRERD"
102,"C’est Virgil Abloh qui a fait la cover de FIFA 21 ou quoi ptdr https://t.co/13Iht4OnBN"
103,"@imoune__ @Louffy213 Ahhahahaha mais t’es en stmg ou pas ?"
104,"Les gens ne savent pas à quel point les mots peuvent être douleureux. Il faut que ça cesse, je ne me répèterais jamais assez mais il ne mérite pas ce qu'il lui arrive !   #BangChanBestLeader  #WeLoveBangchan  #StaysLoveBangchan #ProtectBangchan https://t.co/YqssJxRnc6 https://t.co/RVuUVrrEDV"
105,"RT @Chaouia135: PPPPPTDDRRR on dirait un goss jvais canner https://t.co/THbhTQROYC"
106,"j’hésite à acheter le top de Léna d’aujourd’hui..."
107,"Stade Brestois. Quels enseignements pour Brest face à Marseille ? https://t.co/9FyUf6LSBZ https://t.co/eyn1FPisvu"
108,"Avoir un garçon semble être un enjeu plus grand pour les hommes que d’avoir une fille. Alors que dans les deux cas les gènes sont transmis, la lignée est assurée."
109,"@MrsSwannH @BAG_OFSP_UFSP C'est quand même gonflé de la part de Berne de classifier des pays alors que la Suisse est revenue dans le TOP 5 des pays au R0 le plus élevé, c'est la Suisse qu'il faut fermer. https://t.co/q8MUAS8cwb"
110,"l’info que j’ai bien retenu lors des cours d’histoire « nous étudions la Shoah pour pas oublier et pour que cela ne se reproduise plus » et la ajd le monde entier est au courant que les ouïghours sont stérilisés et enfermé dans des camps et prs ne bouge le petit doigt #Ouïghours"
111,"@Gaulois_libre @eric_f30 Devons nous comprendre que Soral t'a dépucelé ?  Pourquoi ce langage cryptique ?"
112,"@SimServant @Tiekv1002 Je prendrais Bledsoe et Middleton avec mes Lakers demain matin. Pas des superstars mais pas des deux de piques non plus."
113,"Selena Gomez meme quand elle ce trouve moche elle est trop belle mdrr"
114,"@AnasseKazib @ericbrunet @LCI On provoque des pannes pour rien branler ( nouvelle technique de la SNCF)"
115,"@Jasmine_bsd Avec sabo à leur tête est la c le feu 🔥"
116,"@Dan_Stabbler t’es sévère avec Torreira"
117,"auba il deconne mais ça reste un vrai, comment il a calmé lacazette, il lui a mit un coup de pression 💀. https://t.co/3bLokrVICO"
118,"Ouch la presse suisse ne ménage pas ses représentants au défilé du #14juillet - «Epic fail» de l’armée suisse à Paris #OS https://t.co/WzpQCz2Krd"
119,"@eLIZe_ema Y'a qui d'autres dans ton top 5 ?"
120,"@MarSolRivas Tiens au fait, suis-je le seul à penser qu'un duo Véronique Sanson avec Dalida aurait eu de la gueule."
121,"Beh la vérité ce serait un chantier en moins pour ce mercato. Qu'on l'aime ou pas, le Willian de cette saison en tant que remplaçant de luxe je prend tout les jours.  On avait déjà trop de priorités avant d'aller chopper un Benrahma ou Boga https://t.co/3eAyHBP026"
122,"RT @M_e_ric: Mdrr par exemple aucune entreprise du cac 40 n'est dirigée par un mec/ une meuf de stmg"
123,"@Lvsimplement Rachida Dati extra à la radio en ce moment ( FranceInfo) !Et 90 signatures de femmes ÉTRANGÈRES et ""anti Darmanin""!  ( sur Le Monde, jrnal pourtant ami de Macron).Bref, si la droite s'y met aussi, c'est ok pour les filles en France! Tout le monde doit râler!"
124,"#GGRMC on va mes appeler les Barbares cela fera peut-être plaisir à la diversité qui leur rappellera les barbaresques"
125,"J’ai le moment où elle dit  « Passe par Feuneu, moi je réponds pas » en tête depuis ce matin. Elle a réussi son coup la Wejdene."
126,"Oui mais non nous en France nos enfants sont spéciaux et ne risquent rien face à la covid19 ! L'impréparation quasi totale et le protocole sanitaire tellement allégé qu'il en est ridicule et incohérent met en danger profs et élèves !!!  #RENTREE2020 #RentreeScolaire https://t.co/LOUDaXyyQZ"
127,"@FabPigalle Hypothèses sur terme ""challenge"". 1/remplacer LJ 2/Arriver à faire mieux que LJ 3/ Confirmer la doctrine Korneev : 100% jeunes = top et cette défense est bonne (pas de retouche) 4/Relancer Fabregas 5/Faire du ""bojeu"" contrairement au ""mochejeu"". Le 1 = kill-card ""SAS"" (=gagné)"
128,"Top 5 du 21 Juillet 2020 • La vie champêtre reprend ses droits à Ndengler • Les plateformes Aar linu bokk, Noo lank et Doyna listent l’étendue du malaise foncier • Tabaski : Le Chef de l’Etat fait les salaires à l’avance #kebetu https://t.co/EFFOLJbct2"
129,"@itachiu96646807 @unnouar_ ""Mais plus stmg"" Mens doucement. Les es sont autant prit que les stmg"
130,"@couillondu29 @OM_Officiel T'aimes pas Brest ça se voit ..."
131,"la version original est meilleur que la version colors mais cbon LMF va être un classique https://t.co/CGjB0mjqXM"
132,"@BearRingabel @Champii95 @Tjuskar Bien sur le plus gros challenge de nintendo c'est créer un Mario au niveau de Sunshine mdr"
133,"@Maxime_Bousquet Mdrrrr t'es fatiguant"
134,"Vous dépassez les bornes ça suffit 😄😄😄 chagrin #Kohlanta https://t.co/2JY8KkEVy3"
135,"100 ans pour l’Etat du Grand Liban mais des siècles de relations d’amitié entre nos peuples! 🇫🇷 🇱🇧 https://t.co/YKvqyTj89U"
136,"@Kawamatsu95 @zorojuru Ça me manque trop les nuit blanche et le suspens des épisodes le seul moyen de me faire spoil c'était les recommandations one piece (Je me suis fait spoil Sabo et Ace mais bon)"
137,"vos potes violeurs là..."
138,"RT @EugenieBastie: Nouvelle bio : « fan du Puy du Fou » 🤪 merci le CM de l’@lobs"
139,"Bravo Middleton. Bravo les bucks, 3-1 ramené au courage"
140,"Julian Alaphilippe n'a pas été inquiété ce lundi lors de la 3e étape entre Nice et Sisteron. Le Français préserve son maillot jaune et se dit prêt pour le début des hostilités en montagne #TDF2020  https://t.co/dd5wy0LEhv"
141,"Vendredi 38 degré... Pour quoi faire en fait ?"
142,"[Direct] Première conférence de presse pré-conseil municipal du @PrintempsMRS au pouvoir à La mairie de @marseille. Le vote du budget au cœur des débats de lundi #alternance https://t.co/5wkLYvji3V"
143,"J’ai précommandé le Super Mario 3D All Stars alors que j’ai pas d’argent 🤦🏼‍♀️"
144,"RT @gabiiimdz_: Léna situation vraiment la meilleure c’est elle qui m’a fait découvrir le refresha citron vert 🍋"
145,"#Suede🇸🇪 Les conseils contre les voyages non essentiels vers des pays en dehors de l'UE, de l'EEE, de l'espace Schengen et du Royaume-Uni resteront également en vigueur jusqu'au 31 août . https://t.co/AJwsIJ6d3b"
146,"@Punisher__542 @Le_Cruyffiste En 2008 il effleur son niveau avec l’inter (sans l’atteindre et en 2015 il parvient à faire en L1 ce que Suarez fait depuis des années en BPL et en Liga."
147,"#JeudiPhoto : Aujourd’hui c’est lunettes de soleil obligatoires 😎☀️ https://t.co/lhAfga4s7S"
148,"Vous cherchez un serveur #discord pour partager vos #dessins, vos création #digital, site web, application ou vous voulez booster votre chaîne YouTube avec une #pub  rejoignez-moi sur mon discord https://t.co/vMVblwqMUa #Houston #Somi #Pablo Iglesias #Kris Jong-Un #Mbaye Niang"
149,"RT @redpill_europa: Je soutiens Soral #LibérezSoral #JeSoutiensSoral"
150,"C est insupportable le pipeau ,ça rappele un peu riolo..#rmclive"
151,"@TrashTalk_fr 4-2 Pour le Heat, je pense que c’est vraiment l’équipe qui peut poser le plus de difficulté au Bucks"
152,"#punchlineete vraiment pas couillu le maire de #Colombes, qui envoie son adjoint ramer devant les caméras. Pire, il est absent de la mairie. #EELV ce parti de khmers rouges, dangereux pour notre pays."
153,"@warnerbrosfr bonjour je participe avec plaisir et je repond mystere et compagnie merci #scooby"
154,"Comme Poulidor vu par De Gaulle à l’époque de Pompidou, ce Julian Alaphilippe a un nom de premier ministre. @alafpolak1 #TDF2020"
155,"Accord #OGCNice et #FCSéville pour le transfert de Rony Lopes selon @marca  https://t.co/ch0renBWCW"
156,"RT @scapgir: Le site préféré des Traoré #AdamaVioleur https://t.co/ReMJ5JlJkc"
157,"je suis vraiment dans le mal là, c’est pas possible d’être comme ça"
158,"@_outromoon @honsool_axelle c'est comme tous les artistes ils ont tous galéré au début, je te parle de tous de suite ils n'ont absolument pas besoin de plus d'argents, tu devrait t'intéresser au rappeur Népal qui n'avait pas d'argent et ils s'en foutais des chiffres pourtant il était un très grand artiste"
159,"Sous les applaudissements du Conseil de Paris #Girard #Matzneff 👏👏👏 https://t.co/Y7IDnB8sss"
160,"@SPApossibl @Thierry_PELTIER Le communisme n'est ou n'a été qu'amour selon vous ? Le mal n'a pas de préférence pour un bord politique. Il peut se montrer en chaque homme. Tout comme le bien. Et encore reste à définir ce qui est bien et mal dans cette époque où le nihilisme règne."
161,"Les tâches noires, se faire battre par le Barca C à San Siro alors que tu avais une autoroute pour passer en 8eme de c1, l’aller complètement raté en 1/2 vs Naples et seulement une victoire contre le top 5 en Italie. On en revient toujours au même: ils manquent les champions"
162,"@Moha67000829 @Ilan200416 @paris_thierry @MaestroDETP c'est juste que Didier Deschamps et Benzema ne se sont jamais appréciés."
163,"@Ultime__Atome @expecto_patriam @kali_katou @c_toujours_moi @_LICRA_ @olivierveran D'autre part l'abruti de service le serment n'a aucune valeur légale en soi, c'est un petit blabla que tu lis à la fin de ta thèse devant le jury pour faire plaisir à papi. Tu devrais le savoir."
164,"Cuadrado est le joueur le plus important de la Juve, parce que quand il est pas la c'est Danilo a sa place mdrrr"
165,"@OelRec Il fallait être là"
166,"quand tu as une vidéo de lena et de sindy le même jour ça peut être qu’une bonne journée"
167,"#MasqueObligatoire #Blanquer ce génie https://t.co/7osbhs8It8"
168,"Ansu Fati est plus fort mais Asensio est plus grand"
169,"@papet_le  Regarde cette première MINUTE DE NOTRE RENÉ ...de la saison 👍🤝💪⚽️💙  https://t.co/BRErSswekq"
170,"@klvindavis c’est tootatis ou jsp quoi??? c’est incroyable hein"
171,"Mdrrrr Suarez il a duré deux saisons au Barca qd même  Jprends Nueeveee https://t.co/3wFqfKFzdt"
172,"@riouyoann @_Hypo__ T’inquiète si il t’as menacé de t’envoyer son bras droit qui l’a rencardé sur ce qu’avait dit C. Ronaldo à Laurent blanc  je te rassure cette personne n’existe pas...."
173,"@DeBaule Je parle des footballeuses évidemment, les Lyonnaises qui viennent de remporter la Ligue des Champions ( pour la 7ème fois) par rapport à leurs collègues hommes qui n'ont d'ailleurs rien remporté du tout ..."
174,"@LayDetp Mdrrr même moi je veut qu’on me rajoute tqt dès que je fait un groupe je t’ajoute !!!!!"
175,"Là où ça dévient dangereux sur l’aspect défensif est que le côté droit (souvent Neymar) subi des 2vs1 quand le latéral adverse monte.  Ça créer un déséquilibre par la suite au milieu et ça fragilise le bloc équipe."
176,"@Giggs_ Je me disais que je le voyais mal se remettre en selle directement sur un TOP 5 européen."
177,"RT @Giggs_: Le meilleur joueur de football belge de la planète est roux et n’a pas de frère qui joue en Bundesliga."
178,"@Flemme2Twit @atlantis_9193 Joyeux anniversaire à Lewis Hamilton !"
179,"C’est qui Hassan Fatma et tout ??"
180,"@TrashTalk_fr Lopez homme du match côté bucks pour l’instant large"
181,"@warnerbrosfr #Scooby Merci pour ce concours ,Fan de la bande de Scooby: Mystère et compagnie"
182,"Alors Kaaris ça donne quoi?"
183,"En tout cas Selena c’est pas la pote de Taylor swift pour rien..parceque les deux la 😬😬"
184,"@arrivedxrci_ Jvois vrmt pas les Rockets prendre 3 matchs aux Lakers...a voir"
185,"@nes_sim son signe astro c'est smoothie a la gadoue"
186,"Sochaux: Omar Daff donne ses impressions sur la préparation ""Ça commence à prendre forme petit à petit""  &gt; plus de détails sur https://t.co/ZEOCds5RuA  #senegal #kebetu #wiwsport https://t.co/TCcraAh4ru"
187,"Jsuis content pour Kaaris"
188,"😂 Un maillot ne fait pas un club et encore moins une équipe 😂😉 https://t.co/uo3EkDKQdb"
189,"Moi à 10 ans qui cherche sur YouTube les vidéos qui démontrent que Michael Jackson n’est pas mort. https://t.co/wi6rxODMcD"
190,"Vazy envoie le pognon #Cdiscount2emeDemarque https://t.co/PUQeZXu2CB"
191,"Trains bloqués dans le Sud-Ouest : ""La SNCF va rembourser les billets à hauteur de 300%"" https://t.co/t94IZ3lwnK"
192,"Conte à Paris https://t.co/MTQ1WwyiS1"
193,"Dommage que le sponsor soit laid parce que le maillot exterieur est terrible https://t.co/qkcjzuvJh2"
194,"@Keamaru1 @_LICRA_ @olivierveran Ces médecins n’ont pas demandé j’imagine à se retrouver sur des listes, ils souhaitent sûrement recevoir des patients de toutes origines. Il faut aussi des médecins maghrébins pour les maghrébins, des asiatiques pour les asiatiques, des juifs pour les juifs ?"
195,"S’il émet des doutes quant à la suite de sa carrière internationale lorsqu’il constate que la Suède ne fera pas la Coupe du Monde 2010, Zlatan se ravisera et continuera à porter les couleurs de son pays..  Je le répète mais abandonner n’est pas une option pour Zlatan."
196,"WTA - Palerme (Q) : Le tennis reprend malgré un cas de Covid-19 ! #WTA #Covid_19 #LadiesOpen #Paquet #Dodin https://t.co/GT4bOGBA1e"
197,"@JDanthes @Nicokech @MisterParis75 Conte largement meilleur que Allegri selon moi."
